Item CD,Item name,Cost item type, Std. cost per unit ,Base qty.,Unit
M7F2233100,THRUST WASHER M7F223310,Raw Material, 5.41 ,1,Pieces
M7F2237000,THRUST WASHER M7F223700,Raw Material, 5.88 ,1,Pieces
M7F2309000,NUT M7F230900,Raw Material, 3.93 ,1,Pieces
M7F2314200,NUT M7F231420,Raw Material, 3.76 ,1,Pieces
M7F2407000,SUPPORT BEARING M7F240700,Raw Material, 17.23 ,1,Pieces
M7F2421000,SUPPORT BEARING M7F242100,Raw Material, 20.79 ,1,Pieces
M7F2505400,WASHER M7F250540,Raw Material, 3.18 ,1,Pieces
M7F3008000,BUSH M7F300800,Raw Material, 5.05 ,1,Pieces
M7F3019100,BUSH M7F301910,Raw Material, 12.50 ,1,Pieces
M7F3024000,BUSHING FOIL M7F302400,Raw Material, 9.87 ,1,Pieces
M7F310600T,DAMPING RING M7F310600(T),Raw Material, 7.56 ,1,Pieces
M7F3110000,Damping Ring M7F311000,Raw Material, 7.98 ,1,Pieces
M7F3503000,DISC FRICTION M7F350300,Raw Material, 8.46 ,1,Pieces
M7F451W000,INSTALL PIN M7F451W10,Raw Material, 1.27 ,1,Pieces
M7FA20M000,Shaft M7FA20M00,Raw Material, 59.75 ,1,Pieces
M7FA225100,SPINDLE M7FA22510,Raw Material, 83.02 ,1,Pieces
M7FA284500,SPINDLE M7FA28450,Raw Material, 92.68 ,1,Pieces
M7FA28450T,SPINDLE M7FA28450 (T),Raw Material, 86.48 ,1,Pieces
M7FB20M000,Bracket M7FB20M10,Raw Material, 63.77 ,1,Pieces
M7FB20N000,Bracket M7FB20N00,Raw Material, 41.06 ,1,Pieces
M7FB248000,BRACKET M7FB24800,Raw Material, 203.14 ,1,Pieces
M7FB297100,BRACKET M7FB29710,Raw Material, 40.62 ,1,Pieces
MN11111111,AB39-6C301-AB (RG1750 35PK3136)mini slab,Raw Material," 1,078.34 ",1,Pieces
MN11121111,AB39-6C301-BA (RG1750 35PK2980)mini slab,Raw Material," 1,014.21 ",1,Pieces
MN11131111,AB39-6C301-CB (RG1750 35PK3103)mini slab,Raw Material," 1,067.07 ",1,Pieces
MN11141111,AB39-6C301-DA (RG1750 35PK2942)mini slab,Raw Material, 830.61 ,1,Pieces
MN11151111,AB39-6C301-EA (RT2750 36PK2351)mini slab,Raw Material," 1,592.14 ",1,Pieces
MN11161111,AB39-6C301-FA (RT2750 36PK2264)mini slab,Raw Material," 1,154.46 ",1,Pieces
MN11171111,AB39-6C301-GA (RG1750 35PK3142)mini slab,Raw Material," 1,000.11 ",1,Pieces
MN11411111,L5Y0-15908 (RT2750 36PK2351) mini slab,Raw Material," 1,910.36 ",1,Pieces
MN11421111,L5Y1-15908 (RT2750 36PK2264) mini slab,Raw Material," 1,541.05 ",1,Pieces
MN11511111,SL-SY433,Raw Material," 1,532.92 ",1,Square meter
MN11591111,SL-F2100,Raw Material, 952.39 ,1,Square meter
MN115A1111,SL-M4300,Raw Material, 733.41 ,1,Square meter
MN115B1111,SL-M4100,Raw Material, 721.40 ,1,Square meter
MN115C1111,SL-SY143,Raw Material, 557.63 ,1,Square meter
MN115D1111,SL-M5100,Raw Material, 516.87 ,1,Square meter
MN115E1111,SL-SY345,Raw Material, 607.85 ,1,Square meter
MN115F1111,SL-5CGEHS,Raw Material, 782.77 ,1,Square meter
MN115J1111,SL-5PENFSS,Raw Material, 945.85 ,1,Square meter
MN115K1111,SL-5PESS,Raw Material, 968.68 ,1,Square meter
MN115L1111,SL-5PSESS,Raw Material, 880.62 ,1,Square meter
MN115N1111,SL-5UGEHS,Raw Material," 1,004.55 ",1,Square meter
MN115P1111,SL-F2200,Raw Material," 1,546.49 ",1,Square meter
MN115Q1111,SL-F2205,Raw Material," 2,069.76 ",1,Square meter
MN115R1111,SL-5UWEHS,Raw Material, 968.68 ,1,Square meter
MN115U1111,SL-S9235,Raw Material," 2,740.00 ",1,Square meter
MN115X1111,SL-MC400R,Raw Material," 1,763.06 ",1,Square meter
MN115Z1111,SL-S3831,Raw Material," 1,467.69 ",1,Square meter
MN11621111,SL-M2400,Raw Material," 1,383.87 ",1,Square meter
MN116C1111,SL-24AUGEHS (S),Raw Material," 2,025.94 ",1,Square meter
MN116D1111,SL-M2309,Raw Material," 1,225.45 ",1,Square meter
MN116E1111,SL-M2211,Raw Material," 2,201.00 ",1,Square meter
MN116J1111,SL-S6134,Raw Material," 1,399.86 ",1,Square meter
MN116M1111,SL-SY169 (SL-3PCEOS),Raw Material, 903.45 ,1,Square meter
MN116R1111,SL-M1400(ES),Raw Material, 711.14 ,1,Square meter
MN116S1111,SL-F1211,Raw Material," 1,157.85 ",1,Square meter
MN116T1111,SL-M4201,Raw Material," 1,108.91 ",1,Square meter
MN116U1111,SL-SY456N,Raw Material," 1,204.67 ",1,Square meter
MN116V1111,SL-M2401N,Raw Material," 1,267.71 ",1,Square meter
MN116W1111,SL-M5201N,Raw Material," 1,549.78 ",1,Square meter
MN116X1111,SL-S8935,Raw Material," 7,140.30 ",1,Square meter
MN116Y1111,SL-F3500,Raw Material," 1,185.51 ",1,Square meter
MN116Z1111,SL-F0200,Raw Material, 931.03 ,1,Square meter
MN11711111,UHY0-15908 (RG1750 35PK3103) mini slab,Raw Material," 1,267.23 ",1,Pieces
MN11721111,UHY1-15908 (RG1750 35PK2942) mini slab,Raw Material," 1,209.44 ",1,Pieces
MN11731111,UKY0-15908 (RG1750 35PK3136) mini slab,Raw Material," 1,210.49 ",1,Pieces
MN11741111,UKY1-15908 (RG1750 35PK2980) mini slab,Raw Material," 1,136.84 ",1,Pieces
MN11851111,V-GUIDE SL-VA 2 CG,Raw Material, 58.56 ,1,Meter
MN11871111,V-GUIDE SL-VD  UF,Raw Material, 552.37 ,1,Meter
MN11881111,V-GUIDE SL-VD 1 UW,Raw Material, 87.57 ,1,Meter
MN11891111,V-GUIDE SL-VH 4x2 UC,Raw Material, 80.04 ,1,Meter
MN118A1111,SL-VM 2 CGR,Raw Material, 37.15 ,1,Meter
MN118B1111,SL-VM 2 CWR,Raw Material, 37.15 ,1,Meter
MN118C1111,V-GUIDE SL-VM 2 KAW,Raw Material, 382.60 ,1,Meter
MN118D1111,V-GUIDE SL-VN 2 KAW,Raw Material, 178.74 ,1,Meter
MN118E1111,V-GUIDE SL-VN 2 UCR,Raw Material, 145.84 ,1,Meter
MN118F1111,V-GUIDE SL-VN 2 UW,Raw Material, 145.65 ,1,Meter
MN118G1111,V-GUIDE SL-VS 2 UW,Raw Material, 85.64 ,1,Meter
MN118H1111,BANCORD 480-3,Raw Material, 4.93 ,1,Meter
MN118J1111,V-GUIDE SL-VS 2 UG,Raw Material, 104.54 ,1,Meter
MN118K1111,BANCORD 480-5,Raw Material, 11.98 ,1,Meter
MN118L1111,V-GUIDE SL-VH 4x2 CSW,Raw Material, 80.04 ,1,Meter
MN118M1111,V-GUIDE SL-VA1UG,Raw Material, 319.52 ,1,Meter
MN118N1111,V-GUIDE SL-VS 2 USW,Raw Material, 237.38 ,1,Meter
MN12011111,EEC RUB HTS 1000-H8M-400 (Slab),Raw Material," 2,855.50 ",1,Pieces
MN12021111,EC RUB HTS 1040-H8M-400 (Slab),Raw Material," 2,946.77 ",1,Pieces
MN12031111,EC RUB HTS 1056-H8M-400 (Slab),Raw Material," 2,983.77 ",1,Pieces
MN12041111,EC RUB HTS 1064-H8M-400 (Slab),Raw Material," 3,001.04 ",1,Pieces
MN12051111,EC RUB HTS 1080-H8M-400 (Slab),Raw Material," 3,038.04 ",1,Pieces
MN12061111,EC RUB HTS 1092-H14M-400 (Slab),Raw Material," 6,446.10 ",1,Pieces
MN12071111,EC RUB HTS 1120-H8M-400 (Slab),Raw Material," 3,129.66 ",1,Pieces
MN12081111,EC RUB HTS 1152-H8M-400 (Slab),Raw Material," 3,202.96 ",1,Pieces
MN12091111,EC RUB HTS 1160-H8M-400 (Slab),Raw Material," 3,220.94 ",1,Pieces
MN120A1111,EC RUB HTS 1184-H8M-400 (Slab),Raw Material," 3,275.91 ",1,Pieces
MN120B1111,EC RUB HTS 1190-H14M-400 (Slab),Raw Material," 6,780.18 ",1,Pieces
MN120C1111,EC RUB HTS 1192-H8M-400 (Slab),Raw Material," 3,294.24 ",1,Pieces
MN120D1111,EC RUB HTS 1200-H8M-400 (Slab),Raw Material," 3,312.56 ",1,Pieces
MN120E1111,EC RUB HTS 1224-H8M-400 (Slab),Raw Material," 3,366.83 ",1,Pieces
MN120F1111,EC RUB HTS 1248-H8M-400 (Slab),Raw Material," 3,422.16 ",1,Pieces
MN120G1111,EC RUB HTS 1264-H8M-400 (Slab),Raw Material," 3,458.45 ",1,Pieces
MN120H1111,EC RUB HTS 1280-H8M-400 (Slab),Raw Material," 3,495.10 ",1,Pieces
MN120J1111,EC RUB HTS 1304-H8M-400 (Slab),Raw Material," 3,549.37 ",1,Pieces
MN120K1111,EC RUB HTS 1344-H14M-400 (Slab),Raw Material," 7,304.55 ",1,Pieces
MN120L1111,EC RUB HTS 1360-H8M-400 (Slab),Raw Material," 3,677.65 ",1,Pieces
MN120M1111,EC RUB HTS 1392-H8M-400 (Slab),Raw Material," 3,751.30 ",1,Pieces
MN120N1111,EC RUB HTS 1400-H14M-400 (Slab),Raw Material," 7,495.55 ",1,Pieces
MN120P1111,EC RUB HTS 1400-H8M-400 (Slab),Raw Material," 3,768.92 ",1,Pieces
MN120Q1111,EC RUB HTS 1424-H8M-400 (Slab),Raw Material," 3,824.24 ",1,Pieces
MN120R1111,EC RUB HTS 1440-H8M-400 (Slab),Raw Material," 3,860.89 ",1,Pieces
MN120S1111,EC RUB HTS 1456-H14M-400 (Slab),Raw Material," 7,686.90 ",1,Pieces
MN120T1111,EC RUB HTS 1480-H8M-400 (Slab),Raw Material," 3,952.17 ",1,Pieces
MN120U1111,EC RUB HTS 1512-H8M-400 (Slab),Raw Material," 4,025.11 ",1,Pieces
MN120V1111,EC RUB HTS 1520-H8M-400 (Slab),Raw Material," 4,043.79 ",1,Pieces
MN120W1111,EC RUB HTS 1540-H14M-400 (Slab),Raw Material," 7,972.70 ",1,Pieces
MN120X1111,EC RUB HTS 1584-H8M-400 (Slab),Raw Material," 4,189.68 ",1,Pieces
MN120Y1111,EC RUB HTS 1600-H8M-400 (Slab),Raw Material," 4,225.98 ",1,Pieces
MN120Z1111,EC RUB HTS 1610-H14M-400 (Slab),Raw Material," 8,211.27 ",1,Pieces
MN12111111,EC RUB HTS 1680-H14M-400 (Slab),Raw Material," 8,449.85 ",1,Pieces
MN12121111,EC RUB HTS 1680-H8M-400 (Slab),Raw Material," 4,408.88 ",1,Pieces
MN12131111,EC RUB HTS 1728-H8M-400 (Slab),Raw Material," 4,517.42 ",1,Pieces
MN12141111,EC RUB HTS 1760-H8M-400 (Slab),Raw Material," 4,591.07 ",1,Pieces
MN12151111,EC RUB HTS 1778-H14M-400 (Slab),Raw Material," 8,783.57 ",1,Pieces
MN12161111,EC RUB HTS 1800-H8M-400 (Slab),Raw Material," 4,683.04 ",1,Pieces
MN12171111,EC RUB HTS 1890-H14M-400 (Slab),Raw Material," 9,165.22 ",1,Pieces
MN12181111,EC RUB HTS 1904-H8M-400 (Slab),Raw Material," 4,920.21 ",1,Pieces
MN12191111,EC RUB HTS 2000-H8M-400 (Slab),Raw Material," 5,139.40 ",1,Pieces
MN121A1111,EC RUB HTS 2002-H14M-400 (Slab),Raw Material," 9,546.16 ",1,Pieces
MN121B1111,EC RUB HTS 2056-H8M-400 (Slab),Raw Material," 5,267.68 ",1,Pieces
MN121C1111,EC RUB HTS 2080-H8M-400 (Slab),Raw Material," 5,322.65 ",1,Pieces
MN121D1111,EC RUB HTS 2100-H14M-400 (Slab),Raw Material," 9,880.94 ",1,Pieces
MN121E1111,EC RUB HTS 2104-H8M-400 (Slab),Raw Material," 5,377.62 ",1,Pieces
MN121F1111,EC RUB HTS 2160-H8M-400 (Slab),Raw Material," 5,505.19 ",1,Pieces
MN121G1111,EC RUB HTS 2198-H14M-400 (Slab),Raw Material," 10,214.31 ",1,Pieces
MN121H1111,EC RUB HTS 2240-H8M-400 (Slab),Raw Material," 5,688.09 ",1,Pieces
MN121J1111,EC RUB HTS 2248-H8M-400 (Slab),Raw Material," 5,706.41 ",1,Pieces
MN121K1111,EC RUB HTS 2272-H8M-400 (Slab),Raw Material," 5,760.68 ",1,Pieces
MN121L1111,EC RUB HTS 2310-H14M-400 (Slab),Raw Material," 10,595.61 ",1,Pieces
MN121M1111,EC RUB HTS 2400-H8M-400 (Slab),Raw Material," 6,053.17 ",1,Pieces
MN121N1111,EC RUB HTS 2450-H14M-400 (Slab),Raw Material," 11,073.11 ",1,Pieces
MN121P1111,EC RUB HTS 2504-H8M-400 (Slab),Raw Material," 6,291.04 ",1,Pieces
MN121Q1111,EC RUB HTS 2590-H14M-400 (Slab),Raw Material," 11,549.91 ",1,Pieces
MN121R1111,EC RUB HTS 2600-H8M-400 (Slab),Raw Material," 6,509.89 ",1,Pieces
MN121S1111,EC RUB HTS 2800-H14M-400 (Slab),Raw Material," 12,265.28 ",1,Pieces
MN121T1111,EC RUB HTS 2800-H8M-400 (Slab),Raw Material," 6,967.30 ",1,Pieces
MN121U1111,EC RUB HTS 3048-H8M-400 (Slab),Raw Material," 7,533.96 ",1,Pieces
MN121V1111,EC RUB HTS 3150-H14M-400 (Slab),Raw Material," 13,458.16 ",1,Pieces
MN121W1111,EC RUB HTS 3200-H8M-400 (Slab),Raw Material," 7,881.43 ",1,Pieces
MN121X1111,EC RUB HTS 3280-H8M-400 (Slab),Raw Material," 8,063.97 ",1,Pieces
MN121Y1111,EC RUB HTS 3360-H14M-400 (Slab),Raw Material," 14,173.53 ",1,Pieces
MN121Z1111,EC RUB HTS 3360-H8M-400 (Slab),Raw Material," 8,246.16 ",1,Pieces
MN12211111,EC RUB HTS 3500-H14M-400 (Slab),Raw Material," 14,650.33 ",1,Pieces
MN12221111,EC RUB HTS 3600-H8M-400 (Slab),Raw Material," 8,794.49 ",1,Pieces
MN12231111,EC RUB HTS 384-H8M-400 (Slab),Raw Material," 1,448.72 ",1,Pieces
MN12251111,EC RUB HTS 3850-H14M-400 (Slab),Raw Material," 15,842.85 ",1,Pieces
MN12261111,EC RUB HTS 4004-H14M-400 (Slab),Raw Material," 16,367.22 ",1,Pieces
MN12271111,EC RUB HTS 424-H8M-400 (Slab),Raw Material," 1,539.99 ",1,Pieces
MN12281111,EC RUB HTS 4326-H14M-400 (Slab),Raw Material," 17,464.59 ",1,Pieces
MN12291111,EC RUB HTS 4400-H8M-400 (Slab),Raw Material," 10,622.04 ",1,Pieces
MN122A1111,EC RUB HTS 4578-H14M-400 (Slab),Raw Material," 18,323.04 ",1,Pieces
MN122B1111,EC RUB HTS 480-H8M-400 (Slab),Raw Material," 1,667.91 ",1,Pieces
MN122C1111,EC RUB HTS 4956-H14M-400 (Slab),Raw Material," 19,611.06 ",1,Pieces
MN122D1111,EC RUB HTS 560-H8M-400 (Slab),Raw Material," 1,850.10 ",1,Pieces
MN122E1111,EC RUB HTS 600-H8M-400 (Slab),Raw Material," 1,941.72 ",1,Pieces
MN122F1111,EC RUB HTS 624-H8M-400 (Slab),Raw Material," 1,996.70 ",1,Pieces
MN122G1111,EC RUB HTS 640-H8M-400 (Slab),Raw Material," 2,033.00 ",1,Pieces
MN122H1111,EC RUB HTS 656-H8M-400 (Slab),Raw Material," 2,069.29 ",1,Pieces
MN122J1111,EC RUB HTS 680-H8M-400 (Slab),Raw Material," 2,124.97 ",1,Pieces
MN122K1111,EC RUB HTS 720-H8M-400 (Slab),Raw Material," 2,215.89 ",1,Pieces
MN122L1111,EC RUB HTS 760-H8M-400 (Slab),Raw Material," 2,306.81 ",1,Pieces
MN122M1111,EC RUB HTS 800-H8M-400 (Slab),Raw Material," 2,398.79 ",1,Pieces
MN122N1111,EC RUB HTS 840-H8M-400 (Slab),Raw Material," 2,490.06 ",1,Pieces
MN122P1111,EC RUB HTS 856-H8M-400 (Slab),Raw Material," 2,526.36 ",1,Pieces
MN122Q1111,EC RUB HTS 880-H8M-400 (Slab),Raw Material," 2,581.33 ",1,Pieces
MN122R1111,EC RUB HTS 896-H8M-400 (Slab),Raw Material," 2,617.63 ",1,Pieces
MN122S1111,EC RUB HTS 920-H8M-400 (Slab),Raw Material," 2,671.90 ",1,Pieces
MN122T1111,EC RUB HTS 960-H8M-400 (Slab),Raw Material," 2,764.23 ",1,Pieces
MN122U1111,EC RUB HTS 966-H14M-400 (Slab),Raw Material," 6,017.23 ",1,Pieces
MN123N1111,EC STS 1300DS8M2120G (Slab),Raw Material," 1,915.65 ",1,Pieces
MN123R1111,EC STS 1300DS8M2304G (Slab),Raw Material," 2,339.94 ",1,Pieces
MN124D1111,EC STS 1300DS8M920G (Slab),Raw Material, 855.63 ,1,Pieces
MN124F1111,EC STS 1300DS8M960G (Slab),Raw Material, 884.88 ,1,Pieces
MN124G1111,EC STS 1300DS8M984G (Slab),Raw Material, 903.91 ,1,Pieces
MN124J1111,EC STS 2000-S 3M 303 (Slab),Raw Material, 356.28 ,1,Pieces
MN124K1111,EC STS 2000-S 3M-1119G (Slab),Raw Material," 1,223.18 ",1,Pieces
MN124L1111,EC STS 2000-S 3M-174G (Slab),Raw Material, 315.05 ,1,Pieces
MN124M1111,EC STS 2000-S 3M-201G (Slab),Raw Material, 325.62 ,1,Pieces
MN124N1111,EC STS 2000-S 3M-204 (Slab),Raw Material, 326.32 ,1,Pieces
MN124P1111,EC STS 2000-S 3M-207G (Slab),Raw Material, 327.03 ,1,Pieces
MN124Q1111,EC STS 2000-S 3M-213G (Slab),Raw Material, 329.14 ,1,Pieces
MN124R1111,EC STS 2000-S 3M-225G (Slab),Raw Material, 332.67 ,1,Pieces
MN124S1111,EC STS 2000-S 3M-240G (Slab),Raw Material, 337.25 ,1,Pieces
MN124T1111,EC STS 2000-S 3M-246G (Slab),Raw Material, 339.36 ,1,Pieces
MN124U1111,EC STS 2000-S 3M-264G (Slab),Raw Material, 344.65 ,1,Pieces
MN124V1111,EC STS 2000-S 3M-282G (Slab),Raw Material, 349.93 ,1,Pieces
MN124W1111,EC STS 2000-S 3M-285G (Slab),Raw Material, 350.99 ,1,Pieces
MN124X1111,EC STS 2000-S 3M-309G (Slab),Raw Material, 358.39 ,1,Pieces
MN124Y1111,EC STS 2000-S 3M-312G (Slab),Raw Material, 359.10 ,1,Pieces
MN12511111,EC STS 2000-S 3M-324G (Slab),Raw Material, 362.97 ,1,Pieces
MN12521111,EC STS 2000-S 3M-327G (Slab),Raw Material, 364.03 ,1,Pieces
MN12531111,EC STS 2000-S 3M-330G (Slab),Raw Material, 364.73 ,1,Pieces
MN12541111,EC STS 2000-S 3M-351G (Slab),Raw Material, 371.08 ,1,Pieces
MN12551111,EC STS 2000-S 3M-390G (Slab),Raw Material, 382.71 ,1,Pieces
MN12561111,EC STS 2000-S 3M-405G (Slab),Raw Material, 604.01 ,1,Pieces
MN12571111,EC STS 2000-S 3M-408G (Slab),Raw Material, 605.07 ,1,Pieces
MN12581111,EC STS 2000-S 3M-474G (Slab),Raw Material, 625.51 ,1,Pieces
MN12591111,EC STS 2000-S 3M-480G (Slab),Raw Material, 626.92 ,1,Pieces
MN125A1111,EC STS 2000-S 3M-486G (Slab),Raw Material, 628.33 ,1,Pieces
MN125B1111,EC STS 2000-S 3M-492 (Slab),Raw Material, 630.44 ,1,Pieces
MN125C1111,EC STS 2000-S 3M-507G (Slab),Raw Material, 635.02 ,1,Pieces
MN125D1111,EC STS 2000-S 3M-519G (Slab),Raw Material, 638.20 ,1,Pieces
MN125E1111,EC STS 2000-S 3M-537G (Slab),Raw Material, 644.54 ,1,Pieces
MN125F1111,EC STS 2000-S 3M-579G (Slab),Raw Material, 656.52 ,1,Pieces
MN125G1111,EC STS 2000-S 3M-609G (Slab),Raw Material, 666.04 ,1,Pieces
MN125H1111,EC STS 2000-S 3M-633G (Slab),Raw Material, 673.08 ,1,Pieces
MN125J1111,EC STS 2000-S 3M-681G (Slab),Raw Material, 687.88 ,1,Pieces
MN125K1111,EC STS 2000-S 3M-750G (Slab),Raw Material," 1,110.06 ",1,Pieces
MN125L1111,EC STS 2000-S 3M-885G (Slab),Raw Material," 1,151.64 ",1,Pieces
MN125M1111,EC STS 2000-S 3M-927G (Slab),Raw Material," 1,164.68 ",1,Pieces
MN125N1111,EC STS 2000-S 3M-936G (Slab),Raw Material," 1,167.50 ",1,Pieces
MN125Y1111,EC STS 2000-S 5M 965 (Slab),Raw Material," 1,277.80 ",1,Pieces
MN125Z1111,EC STS 2000-S 5M-1000G (Slab),Raw Material," 1,317.62 ",1,Pieces
MN12611111,EC STS 2000-S 5M-1125G (Slab),Raw Material," 1,431.80 ",1,Pieces
MN12621111,EC STS 2000-S 5M-1195G (Slab),Raw Material," 1,466.34 ",1,Pieces
MN12631111,EC STS 2000-S 5M-1250G (Slab),Raw Material," 1,493.47 ",1,Pieces
MN12641111,EC STS 2000-S 5M-1295G (Slab),Raw Material," 1,514.97 ",1,Pieces
MN12651111,EC STS 2000-S 5M-275G (Slab),Raw Material, 362.97 ,1,Pieces
MN12661111,EC STS 2000-S 5M-295G (Slab),Raw Material, 389.75 ,1,Pieces
MN12671111,EC STS 2000-S 5M-325G (Slab),Raw Material, 428.17 ,1,Pieces
MN12681111,EC STS 2000-S 5M-440G (Slab),Raw Material, 580.76 ,1,Pieces
MN12691111,EC STS 2000-S 5M-525G (Slab),Raw Material, 691.76 ,1,Pieces
MN126A1111,EC STS 2000-S 5M-565G (Slab),Raw Material, 744.97 ,1,Pieces
MN126B1111,STS 2000-S 5M-635G,Raw Material, 837.30 ,1,Pieces
MN126C1111,EC STS 2000-S 5M-645G (Slab),Raw Material, 850.34 ,1,Pieces
MN126D1111,EC STS 2000-S 5M-700G (Slab),Raw Material, 922.23 ,1,Pieces
MN126E1111,EC STS 2000-S 5M-765G (Slab),Raw Material," 1,008.92 ",1,Pieces
MN126F1111,STS 2000-S 5M-770G,Raw Material," 1,019.85 ",1,Pieces
MN126G1111,EC STS 2000-S 5M-810G (Slab),Raw Material," 1,068.12 ",1,Pieces
MN126H1111,EC STS 2000-S 5M-860G (Slab),Raw Material," 1,139.31 ",1,Pieces
MN126J1111,EC STS 2000-S 5M-950G (Slab),Raw Material," 1,250.67 ",1,Pieces
MN126N1111,EC STS 4000-S 14M-1246G (Slab),Raw Material," 5,133.76 ",1,Pieces
MN126Q1111,EC STS 4000-S 14M-2506 (Slab),Raw Material," 7,891.65 ",1,Pieces
MN126R1111,EC STS 4000-S 14M-3500G (Slab),Raw Material," 9,989.13 ",1,Pieces
MN126S1111,EC STS 4000-S 14M-3850G (Slab),Raw Material," 10,931.10 ",1,Pieces
MN126T1111,EC STS 4000-S 8M-3720G (Slab),Raw Material," 5,733.20 ",1,Pieces
MN126W1111,EC STS 2000-S 2M-100G (Slab),Raw Material, 243.16 ,1,Pieces
MN126X1111,EC STS 2000-S 2M-102G (Slab),Raw Material, 243.51 ,1,Pieces
MN126Y1111,EC STS 2000-S 2M-104G (Slab),Raw Material, 244.57 ,1,Pieces
MN126Z1111,EC STS 2000-S 2M-106G (Slab),Raw Material, 244.92 ,1,Pieces
MN12711111,EC STS 2000-S 2M-108G (Slab),Raw Material, 245.27 ,1,Pieces
MN12721111,EC STS 2000-S 2M-110G (Slab),Raw Material, 245.62 ,1,Pieces
MN12731111,EC STS 2000-S 2M-112G (Slab),Raw Material, 245.98 ,1,Pieces
MN12741111,EC STS 2000-S 2M-114G (Slab),Raw Material, 246.33 ,1,Pieces
MN12751111,EC STS 2000-S 2M-116G (Slab),Raw Material, 246.68 ,1,Pieces
MN12761111,EC STS 2000-S 2M-118G (Slab),Raw Material, 247.38 ,1,Pieces
MN12771111,EC STS 2000-S 2M-120G (Slab),Raw Material, 248.09 ,1,Pieces
MN12781111,EC STS 2000-S 2M-122G (Slab),Raw Material, 248.44 ,1,Pieces
MN12791111,EC STS 2000-S 2M-124G (Slab),Raw Material, 248.79 ,1,Pieces
MN127A1111,EC STS 2000-S 2M-126G (Slab),Raw Material, 249.50 ,1,Pieces
MN127B1111,EC STS 2000-S 2M-128G (Slab),Raw Material, 249.85 ,1,Pieces
MN127C1111,EC STS 2000-S 2M-130G (Slab),Raw Material, 250.20 ,1,Pieces
MN127D1111,EC STS 2000-S 2M-132G (Slab),Raw Material, 250.91 ,1,Pieces
MN127E1111,EC STS 2000-S 2M-134G (Slab),Raw Material, 251.26 ,1,Pieces
MN127F1111,EC STS 2000-S 2M-136G (Slab),Raw Material, 251.97 ,1,Pieces
MN127G1111,EC STS 2000-S 2M-138G (Slab),Raw Material, 252.32 ,1,Pieces
MN127H1111,EC STS 2000-S 2M-140G (Slab),Raw Material, 252.67 ,1,Pieces
MN127J1111,EC STS 2000-S 2M-142G (Slab),Raw Material, 253.02 ,1,Pieces
MN127K1111,EC STS 2000-S 2M-144G (Slab),Raw Material, 253.38 ,1,Pieces
MN127L1111,EC STS 2000-S 2M-146G (Slab),Raw Material, 253.73 ,1,Pieces
MN127M1111,EC STS 2000-S 2M-148G (Slab),Raw Material, 254.43 ,1,Pieces
MN127N1111,EC STS 2000-S 2M-150G (Slab),Raw Material, 254.79 ,1,Pieces
MN127P1111,EC STS 2000-S 2M-152G (Slab),Raw Material, 255.49 ,1,Pieces
MN127Q1111,EC STS 2000-S 2M-156G (Slab),Raw Material, 256.19 ,1,Pieces
MN127R1111,EC STS 2000-S 2M-158G (Slab),Raw Material, 256.55 ,1,Pieces
MN127S1111,EC STS 2000-S 2M-160G (Slab),Raw Material, 256.90 ,1,Pieces
MN127T1111,EC STS 2000-S 2M-162G (Slab),Raw Material, 257.25 ,1,Pieces
MN127U1111,EC STS 2000-S 2M-164G (Slab),Raw Material, 257.60 ,1,Pieces
MN127V1111,EC STS 2000-S 2M-166G (Slab),Raw Material, 257.96 ,1,Pieces
MN127W1111,EC STS 2000-S 2M-168G (Slab),Raw Material, 258.66 ,1,Pieces
MN127X1111,EC STS 2000-S 2M-170G (Slab),Raw Material, 259.37 ,1,Pieces
MN127Y1111,EC STS 2000-S 2M-172G (Slab),Raw Material, 260.07 ,1,Pieces
MN127Z1111,EC STS 2000-S 2M-174G (Slab),Raw Material, 260.42 ,1,Pieces
MN12811111,EC STS 2000-S 2M-176G (Slab),Raw Material, 260.78 ,1,Pieces
MN12821111,EC STS 2000-S 2M-178G (Slab),Raw Material, 261.13 ,1,Pieces
MN12831111,EC STS 2000-S 2M-180G (Slab),Raw Material, 261.48 ,1,Pieces
MN12841111,EC STS 2000-S 2M-182G (Slab),Raw Material, 261.83 ,1,Pieces
MN12851111,EC STS 2000-S 2M-184G (Slab),Raw Material, 262.54 ,1,Pieces
MN12861111,EC STS 2000-S 2M-186G (Slab),Raw Material, 262.89 ,1,Pieces
MN12871111,EC STS 2000-S 2M-188G (Slab),Raw Material, 263.24 ,1,Pieces
MN12881111,EC STS 2000-S 2M-190G (Slab),Raw Material, 263.60 ,1,Pieces
MN12891111,EC STS 2000-S 2M-192G (Slab),Raw Material, 264.30 ,1,Pieces
MN128A1111,EC STS 2000-S 2M-194G (Slab),Raw Material, 264.65 ,1,Pieces
MN128B1111,EC STS 2000-S 2M-196G (Slab),Raw Material, 265.00 ,1,Pieces
MN128C1111,EC STS 2000-S 2M-198G (Slab),Raw Material, 265.36 ,1,Pieces
MN128D1111,EC STS 2000-S 2M-200G (Slab),Raw Material, 266.06 ,1,Pieces
MN128E1111,EC STS 2000-S 2M-202G (Slab),Raw Material, 266.77 ,1,Pieces
MN128F1111,EC STS 2000-S 2M-204G (Slab),Raw Material, 267.12 ,1,Pieces
MN128G1111,EC STS 2000-S 2M-206G (Slab),Raw Material, 267.47 ,1,Pieces
