Alloc. A/C CD,Alloc. A/C name,Alloc. basis type,Alloc. basis type name,Coefficient CD,Coefficient name,Cost element CD,Cost element name,Indirectly alloc. A/C CD,Indirectly alloc. A/C name,Rounding type,Rounding type name,Rounding digit,Alloc. adjustment type,Alloc. adjustment type,Asset type,Asset type name,Non-minus,Coefficient limit,Std. alloc.,Notes,Entry time,Entry user CD,Entry user name,Update time,Update user CD,Update user name
8720001OT,[M]Storage charge,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8720001PL,[M]Storage charge,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8720001TE,[M]Storage charge,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8720001WS,[M]Storage charge,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750001,[M]Commission paid,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750001OT,[M]Commission paid,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750001PL,[M]Commission paid,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750001TE,[M]Commission paid,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750001WS,[M]Commission paid,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750101,[M]Temporary staffing expense,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750101OT,[M]Temporary staffing expense,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750101PL,[M]Temporary staffing expense,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750101TE,[M]Temporary staffing expense,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750101WS,[M]Temporary staffing expense,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750201,[M]Technical support fee,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750201OT,[M]Technical support fee,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750201PL,[M]Technical support fee,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750201TE,[M]Technical support fee,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750201WS,[M]Technical support fee,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750301,[M]Professional fee,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750301OT,[M]Professional fee,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750301PL,[M]Professional fee,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750301TE,[M]Professional fee,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8750301WS,[M]Professional fee,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8760001,[M]Overseas travel expense,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8760001OT,[M]Overseas travel expense,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8760001PL,[M]Overseas travel expense,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8760001TE,[M]Overseas travel expense,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8760001WS,[M]Overseas travel expense,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8780001,[M]Vehicles maintenance expense,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8780001OT,[M]Vehicles maintenance expense,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8780001PL,[M]Vehicles maintenance expense,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8780001TE,[M]Vehicles maintenance expense,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8780001WS,[M]Vehicles maintenance expense,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8800001,[M]Environmental conservation cost,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8800001OT,[M]Environmental conservation cost,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8800001PL,[M]Environmental conservation cost,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8800001TE,[M]Environmental conservation cost,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8800001WS,[M]Environmental conservation cost,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8880001,[M]Donation,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8880001OT,[M]Donation,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8880001PL,[M]Donation,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8880001TE,[M]Donation,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8880001WS,[M]Donation,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8890001,[M]Miscellaneous expense,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8890001OT,[M]Miscellaneous expense,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8890001PL,[M]Miscellaneous expense,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8890001TE,[M]Miscellaneous expense,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8890001WS,[M]Miscellaneous expense,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8891001,[M]Miscellaneous expense - advance,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8891001OT,[M]Miscellaneous expense - advance,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8891001PL,[M]Miscellaneous expense - advance,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8891001TE,[M]Miscellaneous expense - advance,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8891001WS,[M]Miscellaneous expense - advance,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8900001,[M]Transfer to expense,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8900001OT,[M]Transfer to expense,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8900001PL,[M]Transfer to expense,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8900001TE,[M]Transfer to expense,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8900001WS,[M]Transfer to expense,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50101,Product Cost Labor,0,Time alloc.,COEFF01,Coefficient 01,P0050,Other Indirect Labor,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50102,Product Cost Other,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50103,Product Cost Dep,0,Time alloc.,COEFF01,Coefficient 01,P0070,Other Indirect Depre,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50104,Product Cost Water,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50105,Product Cost Gas,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50106,Product Cost Oil,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50107,Product Cost Elec.,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
PR50108,Fire Insulance,0,Time alloc.,COEFF01,Coefficient 01,P0060,Id. Prod. main exp.,,,,,9,1,Adjust the difference(max. target amount),,,false,false,false,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
